date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2016. 11. 5,2.0161105500629E+017,KT,67,0.53,0.3,0.63,15,12,17,7,1,18
2016. 1. 14,2.0160114503027E+018,LG,72,0.61,0.21,0.91,10,10,22,5,0,13
2016. 1. 14,2.0160114503027E+018,오리온스,63,0.59,0.22,0.6,10,4,17,8,1,15
2015. 12. 25,2.0151225553027E+018,SK,89,0.6,0.32,0.92,21,11,23,6,5,15
2015. 12. 25,2.0151225553027E+018,오리온스,80,0.57,0.41,0.38,26,8,16,10,3,20
2015. 11. 22,2.0151122550627E+018,SK,79,0.47,0.33,0.82,15,9,16,12,3,25
2015. 11. 22,2.0151122550627E+018,KT,83,0.51,0.18,0.73,11,24,28,7,5,18
2015. 11. 8,2.0151108500627E+017,LG,83,0.57,0.38,1,25,11,19,6,1,19
2015. 11. 8,2.0151108500627E+017,KT,92,0.58,0.47,0.64,23,13,17,11,6,15
2016. 1. 23,2.0160123703527E+018,KGC 인삼공사,78,0.51,0.26,0.88,23,8,27,7,3,16
2016. 1. 23,2.0160123703527E+018,삼성,71,0.43,0.2,0.65,15,16,28,8,0,18
2016. 1. 27,2.0160127106527E+018,모비스,75,0.42,0.4,0.79,24,17,28,4,3,17
2016. 1. 27,2.0160127106527E+018,전자랜드,59,0.42,0.24,0.7,13,10,19,5,0,17
2015. 9. 25,2.0150925556527E+017,SK,83,0.5,0.5,0.65,19,8,20,9,2,18
2015. 9. 25,2.0150925556527E+017,전자랜드,73,0.59,0.17,0.91,9,9,21,6,1,25
2015. 11. 25,2.0151125650627E+018,전자랜드,77,0.55,0.31,0.62,15,6,22,6,6,29
2015. 11. 25,2.0151125650627E+018,KT,82,0.51,0.36,0.51,13,14,26,6,3,18
2015. 12. 27,2.0151227105527E+018,모비스,66,0.5,0.35,0.57,12,7,19,6,3,15
2015. 12. 27,2.0151227105527E+018,SK,63,0.5,0.27,0.75,15,12,22,3,4,19
2015. 9. 30,2.0150930657027E+017,전자랜드,86,0.58,0.4,0.6,20,9,30,4,4,21
2015. 9. 30,2.0150930657027E+017,KGC 인삼공사,72,0.46,0.19,0.68,14,14,22,13,3,18
2016. 1. 2,2.0160102606527E+018,KCC,79,0.64,0.19,0.63,12,10,28,7,4,16
2016. 1. 2,2.0160102606527E+018,전자랜드,72,0.45,0.3,0.83,13,11,22,9,0,27
2016. 10. 27,2.0161027300629E+017,오리온스,99,0.61,0.38,0.63,24,10,33,7,3,13
2016. 10. 27,2.0161027300629E+017,KT,67,0.43,0.27,0.77,19,9,20,4,1,18
2015. 10. 3,2.0151003103527E+017,모비스,83,0.59,0.37,0.67,15,11,15,8,2,16
2015. 10. 3,2.0151003103527E+017,삼성,82,0.54,0.5,0.75,19,15,18,6,2,17
2015. 9. 12,2.0150912307027E+016,오리온,86,0.55,0.4,0.64,19,13,26,7,2,17
2015. 9. 12,2.0150912307027E+016,KGC 인삼공사,76,0.6,0.19,0.67,15,11,19,9,3,21
2015. 12. 18,2.0151218165527E+018,동부,84,0.51,0.39,0.68,16,12,22,9,1,15
2015. 12. 18,2.0151218165527E+018,SK,71,0.54,0.38,0.57,13,6,20,6,4,17
2015. 12. 26,2.0151226603527E+018,KCC,74,0.69,0.3,0.42,19,2,25,6,2,20
2015. 12. 26,2.0151226603527E+018,삼성,64,0.44,0.21,0.58,18,13,23,11,1,14
2015. 10. 24,2.0151024501027E+017,LG,75,0.53,0.24,0.88,8,13,18,4,0,18
2015. 10. 24,2.0151024501027E+017,모비스,87,0.56,0.59,0.65,22,9,21,11,2,17
2015. 11. 18,2.0151118553027E+018,SK,90,0.62,0.32,0.86,25,14,22,8,3,17
2015. 11. 18,2.0151118553027E+018,오리온스,69,0.45,0.35,0.81,15,7,16,6,0,12
2015. 12. 20,2.0151220605527E+018,KCC,73,0.57,0.33,0.7,13,8,31,6,3,19
2015. 12. 20,2.0151220605527E+018,SK,72,0.42,0.4,0.6,15,9,22,6,1,15
2016. 1. 17,2.0160117701027E+018,KGC 인삼공사,70,0.49,0.3,0.67,12,10,24,6,5,17
2016. 1. 17,2.0160117701027E+018,모비스,65,0.41,0.28,0.62,17,15,31,4,4,17
2016. 2. 14,2.0160214067027E+018,KT,82,0.57,0.33,0.64,21,11,20,7,1,16
2016. 2. 14,2.0160214067027E+018,KGC 인삼공사,83,0.64,0.24,0.8,20,17,24,5,4,18
2015. 11. 26,2.0151126351027E+018,삼성,82,0.64,0.14,0.54,22,8,16,3,3,21
2015. 11. 26,2.0151126351027E+018,모비스,93,0.74,0.44,0.8,24,4,18,5,1,18
2016. 2. 10,2.0160210166527E+018,동부,60,0.48,0.13,0.81,9,7,19,9,1,18
2016. 2. 10,2.0160210166527E+018,전자랜드,83,0.65,0.41,0.67,22,8,28,7,0,19
2016. 10. 28,2.0161028706529E+017,KGC 인삼공사,87,0.6,0.39,0.73,21,5,25,6,3,22
2016. 10. 28,2.0161028706529E+017,전자랜드,86,0.59,0.28,0.62,21,13,24,5,4,22
2015. 11. 12,2.0151112553027E+017,SK,90,0.6,0.38,0.8,18,6,25,2,1,20
2015. 11. 12,2.0151112553027E+017,오리온스,99,0.48,0.6,0.85,23,8,19,5,5,14
2015. 9. 17,2.0150917165027E+017,동부,85,0.66,0.3,0.45,18,14,24,6,1,16
2015. 9. 17,2.0150917165027E+017,LG,69,0.6,0.24,0.6,7,9,20,9,0,16
2015. 9. 13,2.0150913063527E+016,KT,74,0.54,0.42,0.75,10,5,22,5,0,19
