date,game_id,team,score,2_point,3_point,free_draw,assist,offense,defense,steal,block,foul
2015. 9. 27,2.0150927303527E+017,오리온,81,0.58,0.38,0.71,18,4,19,6,1,25
2015. 9. 27,2.0150927303527E+017,삼성,82,0.63,0.33,0.5,19,12,23,7,2,19
2016. 11. 6,2.0161106107029E+017,모비스,86,0.58,0.3,0.67,20,15,26,4,3,17
2016. 11. 6,2.0161106107029E+017,KGC 인삼공사,75,0.46,0.22,0.79,21,15,18,7,3,20
2015. 11. 17,2.0151117163527E+018,동부,70,0.59,0.25,0.64,13,9,19,4,2,19
2015. 11. 17,2.0151117163527E+018,삼성,75,0.57,0.33,0.89,16,8,20,6,5,17
2015. 10. 18,2.0151018351027E+017,삼성,61,0.46,0.09,0.8,12,11,22,5,2,20
2015. 10. 18,2.0151018351027E+017,모비스,74,0.46,0.45,0.68,19,10,23,5,3,16
2015. 12. 24,2.0151224605027E+018,KCC,94,0.5,0.38,0.7,15,19,19,3,3,19
2015. 12. 24,2.0151224605027E+018,LG,98,0.62,0.47,0.71,18,10,23,2,0,22
2016. 2. 13,2.0160213356527E+018,삼성,81,0.56,0.55,0.75,10,10,22,4,4,14
2016. 2. 13,2.0160213356527E+018,전자랜드,87,0.54,0.5,0.8,25,9,16,12,0,16
2015. 12. 17,2.0151217103527E+018,모비스,72,0.53,0.37,0.77,16,5,18,10,4,20
2015. 12. 17,2.0151217103527E+018,삼성,73,0.51,0.35,0.94,15,8,22,9,1,21
2015. 9. 22,2.0150922553527E+017,SK,72,0.37,0.48,0.77,22,6,27,4,3,18
2015. 9. 22,2.0150922553527E+017,삼성,75,0.47,0.26,0.75,14,14,28,5,2,18
2016. 1. 22,2.0160122306527E+018,오리온스,84,0.49,0.56,0.54,20,9,27,6,3,19
2016. 1. 22,2.0160122306527E+018,전자랜드,67,0.49,0.24,0.73,11,9,25,6,2,24
2015. 11. 28,2.0151128651627E+018,전자랜드,72,0.68,0.2,0.67,14,6,20,7,1,21
2015. 11. 28,2.0151128651627E+018,동부,84,0.53,0.73,0.5,25,8,22,8,1,18
2015. 12. 20,2.0151220356527E+018,삼성,95,0.7,0.44,0.78,19,10,19,8,3,17
2015. 12. 20,2.0151220356527E+018,전자랜드,79,0.55,0.53,0.54,16,8,13,10,1,20
2015. 11. 11,2.0151111503527E+017,LG,101,0.66,0.48,0.65,30,6,34,9,3,18
2015. 11. 11,2.0151111503527E+017,삼성,63,0.41,0.15,0.73,10,16,19,6,3,19
2015. 10. 18,2.0151018165027E+017,동부,68,0.53,0.25,0.85,14,9,15,8,3,18
2015. 10. 18,2.0151018165027E+017,LG,77,0.6,0.32,0.92,19,5,22,7,2,16
2015. 12. 27,2.0151227067027E+018,KT,83,0.74,0.32,0.57,26,6,22,3,2,17
2015. 12. 27,2.0151227067027E+018,KGC 인삼공사,84,0.51,0.38,0.79,19,13,19,7,0,21
2015. 11. 29,2.0151129103027E+018,모비스,77,0.63,0.35,0.89,21,10,20,7,2,11
2015. 11. 29,2.0151129103027E+018,오리온스,70,0.51,0.42,0.78,21,6,14,9,0,18
2016. 1. 31,2.0160131503027E+018,LG,91,0.57,0.5,0.9,22,8,22,7,1,19
2016. 1. 31,2.0160131503027E+018,오리온스,73,0.63,0.4,1,15,1,18,5,2,19
2016. 10. 30,2.0161030555029E+017,SK,100,0.71,0.4,0.89,19,10,28,3,3,17
2016. 10. 30,2.0161030555029E+017,LG,82,0.5,0.29,0.75,17,16,14,5,0,19
2016. 2. 18,2.0160218301627E+018,오리온스,80,0.56,0.31,1,15,9,18,9,6,16
2016. 2. 18,2.0160218301627E+018,동부,73,0.51,0.35,0.79,19,13,16,8,0,19
2015. 11. 3,2.0151103657027E+017,전자랜드,76,0.45,0.28,0.61,17,20,24,5,2,16
2015. 11. 3,2.0151103657027E+017,KGC 인삼공사,85,0.66,0.28,0.67,22,9,26,9,4,22
2015. 12. 6,2.0151206556527E+018,SK,61,0.54,0.21,0.71,12,9,24,4,4,15
2015. 12. 6,2.0151206556527E+018,전자랜드,67,0.44,0.33,0.7,9,12,23,9,2,15
2015. 12. 11,2.0151211166027E+018,동부,81,0.47,0.3,0.78,19,19,17,11,3,18
2015. 12. 11,2.0151211166027E+018,KCC,73,0.51,0.33,0.69,11,15,23,4,5,19
2016. 1. 24,2.0160124167027E+018,동부,65,0.49,0.24,0.58,12,7,26,5,2,21
2016. 1. 24,2.0160124167027E+018,KGC 인삼공사,79,0.59,0.36,0.79,14,4,31,9,4,19
2015. 11. 1,2.0151101353027E+017,삼성,84,0.35,0.63,0.78,17,11,11,9,2,13
2015. 11. 1,2.0151101353027E+017,오리온스,93,0.68,0.5,0.86,21,6,26,4,2,17
2016. 1. 1,2.0160101500627E+018,LG,87,0.59,0.41,0.62,20,12,20,8,6,15
2016. 1. 1,2.0160101500627E+018,KT,78,0.57,0.3,0.73,19,8,21,9,2,17
2015. 11. 6,2.0151106656027E+017,전자랜드,80,0.56,0.36,0.68,18,9,20,6,4,24
2015. 11. 6,2.0151106656027E+017,KCC,87,0.51,0.35,0.81,16,15,18,7,5,23
2016. 1. 16,2.0160116163027E+018,동부,75,0.49,0.31,0.9,17,13,16,5,3,18
2016. 1. 16,2.0160116163027E+018,오리온스,94,0.68,0.44,0.83,22,7,27,11,1,15
2015. 10. 20,2.0151020601627E+017,KCC,63,0.46,0.24,0.55,11,14,18,11,4,18
2015. 10. 20,2.0151020601627E+017,동부,71,0.48,0.46,0.74,14,8,25,7,3,19
2015. 10. 13,2.0151013555027E+017,SK,80,0.6,0.16,0.73,20,13,19,7,2,15
2015. 10. 13,2.0151013555027E+017,LG,68,0.5,0.35,0.8,17,12,20,1,1,17
2015. 11. 5,2.0151105301027E+017,오리온스,95,0.52,0.57,0.75,23,9,19,7,4,17
2015. 11. 5,2.0151105301027E+017,모비스,80,0.43,0.56,0.75,15,8,21,8,4,17
2016. 2. 4,2.0160204553527E+018,SK,86,0.7,0.27,0.68,16,8,24,9,1,14
2016. 2. 4,2.0160204553527E+018,삼성,69,0.53,0.24,0.83,17,10,16,10,1,19
2016. 11. 4,2.0161104356529E+017,삼성,76,0.52,0.2,0.59,17,12,31,4,3,21
2016. 11. 4,2.0161104356529E+017,전자랜드,75,0.5,0.22,0.7,11,11,23,11,6,24
2015. 12. 19,2.0151219501027E+018,LG,81,0.54,0.47,0.77,18,8,15,4,1,19
2015. 12. 19,2.0151219501027E+018,모비스,83,0.65,0.36,0.79,23,10,20,8,1,16
2016. 10. 30,2.0161030651629E+017,전자랜드,80,0.6,0.3,0.73,19,8,16,11,0,19
2016. 10. 30,2.0161030651629E+017,동부,77,0.65,0.29,0.59,16,12,24,5,2,13
2015. 10. 15,2.0151015653527E+017,전자랜드,74,0.48,0.27,0.84,12,12,18,11,2,23
2015. 10. 15,2.0151015653527E+017,삼성,82,0.57,0.28,0.72,16,15,20,7,4,17
2016. 2. 6,2.0160206653027E+018,전자랜드,83,0.61,0.54,0.53,18,7,16,4,0,22
2016. 2. 6,2.0160206653027E+018,오리온스,89,0.57,0.6,0.8,24,7,13,8,2,15
2016. 11. 5,2.0161105167029E+017,동부,88,0.55,0.3,0.74,20,18,31,5,1,21
2016. 11. 5,2.0161105167029E+017,KGC 인삼공사,73,0.4,0.33,0.67,20,10,17,8,5,19
2015. 9. 28,2.0150928557027E+017,SK,62,0.48,0.23,0.64,16,13,27,6,2,17
2015. 9. 28,2.0150928557027E+017,KGC 인삼공사,76,0.66,0.26,0.71,12,5,30,9,0,20
2016. 10. 28,2.0161028601629E+017,KCC,84,0.55,0.25,0.86,15,11,14,7,3,21
2016. 10. 28,2.0161028601629E+017,동부,94,0.57,0.5,0.85,23,10,29,4,2,17
2015. 12. 31,2.0151231601027E+018,KCC,67,0.44,0.4,0.76,9,11,22,6,3,20
2015. 12. 31,2.0151231601027E+018,모비스,65,0.5,0.17,0.71,13,13,23,11,4,18
2015. 10. 24,2.0151024703527E+017,KGC 인삼공사,92,0.63,0.38,0.73,24,6,20,10,5,17
2015. 10. 24,2.0151024703527E+017,삼성,82,0.48,0.45,0.92,23,11,23,9,1,20
2015. 11. 28,2.0151128303527E+018,오리온스,66,0.46,0.38,0.7,17,5,16,9,4,18
2015. 11. 28,2.0151128303527E+018,삼성,76,0.51,0.54,0.82,15,10,24,7,8,19
2016. 10. 29,2.0161029063529E+017,KT,93,0.53,0.4,0.65,24,12,16,9,1,20
2016. 10. 29,2.0161029063529E+017,삼성,90,0.62,0.24,0.77,22,16,23,7,1,23
2016. 3. 8,2.0160308103027E+017,모비스,68,0.44,0.29,0.78,14,12,23,8,2,19
2016. 3. 8,2.0160308103027E+017,오리온스,69,0.49,0.38,0.68,15,8,23,5,3,23
2016. 2. 8,2.0160208701627E+018,KGC 인삼공사,81,0.59,0.36,0.46,19,8,20,7,2,18
2016. 2. 8,2.0160208701627E+018,동부,84,0.59,0.47,0.8,20,7,24,3,2,17
2016. 2. 25,2.0160225703527E+016,KGC 인삼공사,96,0.68,0.37,0.5,22,9,31,9,7,23
2016. 2. 25,2.0160225703527E+016,삼성,71,0.38,0.38,0.72,17,12,26,9,4,22
2015. 12. 6,2.0151206701627E+018,KGC 인삼공사,93,0.42,0.48,0.85,22,12,28,10,1,17
2015. 12. 6,2.0151206701627E+018,동부,82,0.44,0.48,0.61,13,10,27,2,0,22
2015. 10. 6,2.0151006606527E+017,KCC,73,0.59,0.17,0.56,8,10,30,8,0,17
2015. 10. 6,2.0151006606527E+017,전자랜드,58,0.43,0.24,0.5,13,12,24,6,2,23
